SRC,TRG 
near a badger the zebra with a zebra near him hoped past,near a badger the zebra with a zebra near him hoped
the zebras coughed pres,the zebras cough
near the dog near the gentle zebra she laughed pres,near the dog near the gentle zebra she laughs
the dogs near most humble badgers coughed past,the dogs near most humble badgers coughed
the frogs with a robin with the zebras hoped past,the frogs with a robin with the zebras hoped
near her a chicken hoped pres,near her a chicken hopes
the badgers near most chickens hoped pres,the badgers near most chickens hope
he hoped past,he hoped
he hoped pres,he hopes
a gentle chicken hoped pres,a gentle chicken hopes
the humble badger danced pres,the humble badger dances
a zebra died pres,a zebra dies
near the badger the gentle badger hoped pres,near the badger the gentle badger hopes
the chicken laughed past,the chicken laughed
the zebra burped pres,the zebra burps
they coughed past,they coughed
a frog hoped pres,a frog hopes
a chicken coughed pres,a chicken coughs
the jocular chicken danced past,the jocular chicken danced
with a gentle zebra the badger near the badgers laughed pres,with a gentle zebra the badger near the badgers laughs
a chicken laughed past,a chicken laughed
he danced past,he danced
a dog hoped pres,a dog hopes
near her she laughed pres,near her she laughs
the gentle zebras danced pres,the gentle zebras dance
the jocular robins hoped past,the jocular robins hoped
he laughed pres,he laughs
the dog near the humble kindly chickens burped past,the dog near the humble kindly chickens burped
a zebra laughed past,a zebra laughed
most gentle gentle zebras laughed pres,most gentle gentle zebras laugh
the zebra hoped past,the zebra hoped
the frogs hoped pres,the frogs hope
the gentle zebra coughed past,the gentle zebra coughed
the zebras danced past,the zebras danced
the zebra laughed past,the zebra laughed
she laughed pres,she laughs
the zebras danced past,the zebras danced
the zebras near the gentle chickens hoped pres,the zebras near the gentle chickens hope
near the gentle zebra the zebra laughed past,near the gentle zebra the zebra laughed
a badger danced past,a badger danced
the robins near a zebra died pres,the robins near a zebra die
the robins laughed pres,the robins laugh
the zebra laughed past,the zebra laughed
the zebras burped pres,the zebras burp
a robin laughed past,a robin laughed
the badger danced pres,the badger dances
she laughed pres,she laughs
the dog near the gentle gentle zebra laughed past,the dog near the gentle gentle zebra laughed
the zebra laughed past,the zebra laughed
the gentle humble zebra laughed past,the gentle humble zebra laughed
the clever humble humble zebras laughed past,the clever humble humble zebras laughed
they laughed past,they laughed
a robin laughed past,a robin laughed
the clever zebras laughed past,the clever zebras laughed
most frogs burped past,most frogs burped
the badgers laughed pres,the badgers laugh
a zebra laughed past,a zebra laughed
the zebras laughed pres,the zebras laugh
the humble zebras danced past,the humble zebras danced
they laughed past,they laughed
they died pres,they die
a zebra near the chickens laughed past,a zebra near the chickens laughed
near the badger near the zebras with most humble robins the robin laughed pres,near the badger near the zebras with most humble robins the robin laughs
they coughed pres,they cough
most zebras with the robins danced pres,most zebras with the robins dance
near most chickens they coughed past,near most chickens they coughed
the chickens near her burped past,the chickens near her burped
the clever dog danced past,the clever dog danced
the chickens burped past,the chickens burped
the clever gentle dogs burped past,the clever gentle dogs burped
most frogs near the gentle gentle kindly dogs laughed pres,most frogs near the gentle gentle kindly dogs laugh
a zebra coughed pres,a zebra coughs
the zebras laughed past,the zebras laughed
the humble kindly badger laughed past,the humble kindly badger laughed
they hoped pres,they hope
the zebras danced pres,the zebras dance
with most zebras most gentle badgers laughed past,with most zebras most gentle badgers laughed
he danced past,he danced
most zebras with the zebras danced pres,most zebras with the zebras dance
the gentle badger laughed pres,the gentle badger laughs
most gentle frogs laughed pres,most gentle frogs laugh
near the humble robins the clever lovely robins laughed past,near the humble robins the clever lovely robins laughed
near the zebra the robin danced pres,near the zebra the robin dances
with them the gentle dogs hoped pres,with them the gentle dogs hope
they laughed pres,they laugh
he hoped past,he hoped
most badgers laughed pres,most badgers laugh
the robin died past,the robin died
most jocular humble chickens laughed pres,most jocular humble chickens laugh
the jocular chickens laughed past,the jocular chickens laughed
she laughed pres,she laughs
a gentle clever zebra laughed past,a gentle clever zebra laughed
he died past,he died
the gentle humble zebras laughed pres,the gentle humble zebras laugh
she danced past,she danced
the zebra danced past,the zebra danced
the zebras hoped pres,the zebras hope
most zebras danced pres,most zebras dance
a zebra laughed pres,a zebra laughs
the dogs near the robin near the zebras hoped past,the dogs near the robin near the zebras hoped
most clever chickens coughed past,most clever chickens coughed
near the chickens near most jocular zebras most zebras near the chickens near most zebras near the zebras laughed pres,near the chickens near most jocular zebras most zebras near the chickens near most zebras near the zebras laugh
a clever badger danced pres,a clever badger dances
she laughed pres,she laughs
the badger danced pres,the badger dances
the chicken laughed past,the chicken laughed
a chicken hoped past,a chicken hoped
a zebra laughed pres,a zebra laughs
most gentle badgers laughed past,most gentle badgers laughed
a zebra laughed past,a zebra laughed
most zebras laughed past,most zebras laughed
near the clever chicken a chicken laughed pres,near the clever chicken a chicken laughs
